key,name,description,attached to,layer,type,kind,url
humanities,Humanities,,,0,,group,https://en.wikipedia.org/wiki/Humanities
humanities.history.european-history.dutch-history,Dutch history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_Netherlands
humanities.history.european-history.italian-history,Italian history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Italy
humanities.history.european-history.spanish-history,Spanish history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Spain
humanities.history.european-history.portuguese-history,Portuguese history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Portugal
humanities.history.european-history.polish-history,Polish history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Poland
humanities.history.european-history.balkan-history,Balkan history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_Balkans
humanities.history.european-history.scandinavian-history,Scandinavian history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Scandinavia
humanities.history.european-history.scandinavian-history.swedish-history,Swedish history,,Scandinavian history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Sweden
humanities.history.european-history.scandinavian-history.norwegian-history,Norwegian history,,Scandinavian history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Norway
humanities.history.european-history.scandinavian-history.danish-history,Danish history,,Scandinavian history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Denmark
humanities.history.european-history.scandinavian-history.finnish-history,Finnish history,,Scandinavian history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Finland
humanities.history.european-history.scandinavian-history.icelandic-history,Icelandic history,,Scandinavian history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Iceland
humanities.history.european-history.russian-history,Russian history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Russia
humanities.history.african-history,African history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/African_history
humanities.history.african-history.south-african-history,South African history,,African history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_South_Africa
humanities.history.african-history.egyptian-history,Egyptian history,,African history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Egypt
humanities.history.african-history.east-and-central-african-history,East and Central African history,,African history|0,3,S,subdiscipline,
humanities.history.african-history.nigerian-history,Nigerian history,,African history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Nigeria
humanities.history.pre-columbian-era-history,Pre-Columbian era history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Pre-Columbian_era
humanities.history.pan-american-history,Pan-American history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_Americas
humanities.history.pan-american-history.north-american-history,North American history,,Pan-American history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_North_America
humanities.history.pan-american-history.north-american-history.american-history,American history,,North American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_United_States
humanities.history.pan-american-history.north-american-history.canadian-history,Canadian history,,North American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Canada
