key,name,description,attached to,layer,type,url
social-science.geography.physical-geography-is-also-listed-in-earth-science.meteorology,Meteorology,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Meteorology
social-science.geography.physical-geography-is-also-listed-in-earth-science.mineralogy,Mineralogy,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Mineralogy
social-science.geography.physical-geography-is-also-listed-in-earth-science.oceanography,Oceanography,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Oceanography
social-science.geography.physical-geography-is-also-listed-in-earth-science.palaeogeography,Palaeogeography,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Palaeogeography
social-science.geography.physical-geography-is-also-listed-in-earth-science.palaeontology,Palaeontology,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Palaeontology
social-science.geography.physical-geography-is-also-listed-in-earth-science.petrology,Petrology,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Petrology
social-science.geography.physical-geography-is-also-listed-in-earth-science.soil-geography,Soil geography,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Pedology
social-science.geography.human-geography,Human geography,,Geography|0,2,S,https://en.wikipedia.org/wiki/Human_geography
social-science.geography.human-geography.behavioural-geography,Behavioural geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Behavioural_geography
social-science.geography.human-geography.cognitive-geography,Cognitive geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Cognitive_geography
social-science.geography.human-geography.cultural-geography,Cultural geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Cultural_geography
social-science.geography.human-geography.cultural-geography.feminist-geography,Feminist geography,,Cultural geography|0,4,S,https://en.wikipedia.org/wiki/Feminist_geography
social-science.geography.human-geography.development-geography,Development geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Development_geography
social-science.geography.human-geography.health-geography,Health geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Health_geography
social-science.geography.human-geography.historical-geography,Historical geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Historical_geography
social-science.geography.human-geography.language-geography,Language geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Language_geography
social-science.geography.human-geography.mathematical-geography,Mathematical geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Mathematical_geography
social-science.geography.human-geography.marketing-geography,Marketing geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Marketing_geography
social-science.geography.human-geography.military-geography,Military geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Military_geography
social-science.geography.human-geography.political-geography-geopolitics,Political geography & Geopolitics,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Political_geography
social-science.geography.human-geography.population-geography,Population geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Population_geography
social-science.geography.human-geography.religion-geography,Religion geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Religion_geography
social-science.geography.human-geography.social-geography,Social geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Social_geography
social-science.geography.human-geography.children-s-geographies,Children's geographies,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Children%27s_geographies
social-science.geography.human-geography.strategic-geography,Strategic geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Strategic_geography
social-science.geography.human-geography.time-geography,Time geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Time_geography
social-science.geography.human-geography.tourism-geography,Tourism geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Tourism_geography
social-science.geography.human-geography.transport-geography,Transport geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Transport_geography
social-science.geography.human-geography.urban-geography,Urban geography,,Human geography|0,3,S,https://en.wikipedia.org/wiki/Urban_geography
