playlist_id,language_code,title,description
FLUHW94eEFW7hkUMVaZz4eDg,sr,Омиљено,
FLUHW94eEFW7hkUMVaZz4eDg,sv,Favoriter,
FLUHW94eEFW7hkUMVaZz4eDg,sw,Vipendwa,
FLUHW94eEFW7hkUMVaZz4eDg,ta,பிடித்தவை,
FLUHW94eEFW7hkUMVaZz4eDg,te,ఇష్టమైనవి,
FLUHW94eEFW7hkUMVaZz4eDg,th,รายการโปรด,
FLUHW94eEFW7hkUMVaZz4eDg,tr,Favoriler,
FLUHW94eEFW7hkUMVaZz4eDg,uk,Вибране,
FLUHW94eEFW7hkUMVaZz4eDg,ur,پسندیدہ,
FLUHW94eEFW7hkUMVaZz4eDg,vi,Video yêu thích,
FLUHW94eEFW7hkUMVaZz4eDg,zh-CN,收藏的视频,
FLUHW94eEFW7hkUMVaZz4eDg,zh-HK,收藏,
FLUHW94eEFW7hkUMVaZz4eDg,zh-TW,收藏的影片,
FLUHW94eEFW7hkUMVaZz4eDg,zu,Izintandokazi,
FLvBqzzvUBLCs8Y7Axb-jZew,af,Gunstelinge,
FLvBqzzvUBLCs8Y7Axb-jZew,am,ተወዳጆች,
FLvBqzzvUBLCs8Y7Axb-jZew,ar,المفضلة,
FLvBqzzvUBLCs8Y7Axb-jZew,bg,Любими,
FLvBqzzvUBLCs8Y7Axb-jZew,bn,পছন্দগুলি,
FLvBqzzvUBLCs8Y7Axb-jZew,ca,Preferits,
FLvBqzzvUBLCs8Y7Axb-jZew,cs,Oblíbené,
FLvBqzzvUBLCs8Y7Axb-jZew,da,Foretrukne,
FLvBqzzvUBLCs8Y7Axb-jZew,de,Favoriten,
FLvBqzzvUBLCs8Y7Axb-jZew,el,Αγαπημένα,
